iter	Passed	Remaining
128	3640	24578
129	3665	24532
130	3690	24478
131	3715	24429
132	3740	24382
133	3765	24333
134	3789	24282
135	3817	24251
136	3842	24204
137	3868	24161
138	3893	24117
139	3919	24075
140	3951	24072
141	3976	24028
142	4005	24002
143	4030	23958
144	4056	23916
145	4084	23888
146	4109	23846
147	4135	23805
148	4162	23773
149	4188	23735
150	4213	23693
151	4241	23664
152	4269	23635
153	4294	23592
154	4319	23548
155	4348	23526
156	4375	23493
157	4403	23466
158	4428	23425
159	4454	23385
160	4479	23342
161	4505	23307
162	4530	23266
163	4557	23229
164	4581	23187
165	4606	23143
166	4633	23111
167	4657	23067
168	4683	23030
169	4712	23006
170	4740	22979
171	4764	22938
172	4788	22888
173	4813	22849
174	4840	22817
175	4867	22786
176	4893	22753
177	4922	22730
178	4951	22710
179	4979	22683
180	5004	22643
181	5032	22618
182	5059	22586
183	5088	22565
184	5114	22532
185	5141	22499
186	5166	22461
187	5196	22446
188	5223	22414
189	5250	22382
190	5274	22339
191	5300	22306
192	5331	22292
193	5357	22256
194	5384	22228
195	5408	22185
196	5431	22140
197	5455	22099
198	5482	22066
199	5508	22034
200	5534	21998
201	5560	21964
202	5584	21924
203	5612	21899
204	5639	21872
205	5667	21844
206	5693	21811
207	5722	21787
208	5749	21761
209	5775	21728
210	5800	21689
211	5825	21653
212	5852	21625
213	5878	21592
214	5919	21612
215	5950	21598
216	5978	21571
217	6001	21529
218	6028	21499
219	6053	21461
220	6076	21419
221	6104	21394
222	6130	21362
223	6157	21330
224	6185	21305
225	6214	21282
226	6240	21251
227	6266	21216
228	6296	21199
229	6322	21167
230	6349	21137
231	6374	21101
232	6400	21068
233	6427	21041
234	6471	21066
235	6496	21032
236	6523	21001
237	6553	20981
238	6580	20952
239	6611	20934
240	6635	20897
241	6661	20865
242	6689	20839
243	6713	20801
244	6741	20773
245	6769	20749
246	6794	20713
247	6819	20678
248	6843	20641
249	6870	20611
250	6895	20577
251	6919	20539
252	6945	20505
253	6971	20474
254	6998	20446
255	7024	20413
256	7052	20388
257	7078	20357
258	7104	20326
259	7129	20291
260	7156	20262
261	7181	20228
262	7206	20193
263	7238	20180
264	7264	20148
265	7294	20129
266	7319	20095
267	7345	20063
268	7370	20030
269	7399	20005
270	7430	19987
271	7455	19954
272	7482	19924
273	7506	19889
274	7531	19856
275	7558	19827
276	7589	19809
277	7617	19783
278	7642	19748
279	7667	19716
280	7692	19683
281	7719	19653
282	7744	19619
283	7768	19585
284	7795	19558
285	7821	19525
286	7845	19491
287	7873	19465
288	7898	19431
289	7923	19399
290	7951	19372
291	7977	19341
292	8003	19312
293	8028	19279
294	8054	19248
295	8078	19213
296	8102	19178
297	8127	19146
298	8154	19118
299	8183	19095
300	8211	19068
301	8238	19042
302	8283	19054
303	8309	19023
304	8336	18995
305	8361	18963
306	8385	18928
307	8411	18899
308	8437	18868
309	8463	18839
310	8489	18808
311	8516	18779
312	8546	18758
313	8578	18740
314	8605	18714
315	8632	18684
316	8658	18654
317	8682	18621
318	8708	18590
319	8734	18561
320	8763	18536
321	8787	18502
322	8812	18469
323	8838	18441
324	8867	18417
325	8892	18385
326	8920	18359
327	8949	18335
328	8976	18306
329	9003	18279
330	9031	18254
331	9058	18225
332	9087	18202
333	9113	18172
334	9139	18142
335	9164	18110
336	9190	18081
337	9218	18055
338	9243	18023
339	9271	17997
340	9296	17965
341	9326	17944
342	9352	17915
343	9376	17881
344	9403	17852
345	9429	17823
346	9457	17797
347	9482	17766
348	9510	17740
349	9535	17708
350	9565	17686
351	9591	17656
352	9618	17629
353	9644	17600
354	9671	17571
355	9698	17544
356	9724	17514
357	9749	17484
358	9774	17453
359	9798	17419
360	9822	17387
361	9851	17362
362	9876	17331
363	9903	17304
364	9929	17273
365	9953	17241
366	9978	17211
367	10004	17182
368	10032	17155
369	10057	17125
370	10088	17104
371	10113	17073
372	10139	17044
373	10165	17014
374	10190	16984
375	10220	16961
376	10249	16937
377	10275	16907
378	10303	16882
379	10333	16859
380	10358	16828
381	10387	16804
382	10412	16774
383	10440	16748
384	10472	16729
385	10498	16699
386	10522	16667
387	10551	16642
388	10578	16615
389	10603	16584
390	10630	16557
391	10675	16557
392	10703	16531
393	10728	16501
394	10753	16471
395	10780	16442
396	10806	16413
397	10832	16385
398	10858	16355
399	10885	16327
400	10914	16303
401	10941	16275
402	10967	16247
403	10995	16220
404	11022	16193
405	11051	16168
406	11075	16137
407	11100	16106
408	11127	16079
409	11153	16050
410	11179	16020
411	11203	15989
412	11235	15969
413	11262	15941
414	11286	15909
415	11311	15880
416	11336	15849
417	11362	15820
418	11387	15790
419	11416	15765
420	11441	15736
421	11467	15706
422	11490	15674
423	11518	15647
424	11546	15621
425	11575	15597
426	11605	15573
427	11629	15542
428	11656	15514
429	11682	15486
430	11708	15457
431	11734	15428
432	11762	15402
433	11791	15377
434	11818	15350
435	11859	15341
436	11884	15311
437	11909	15281
438	11937	15254
439	11969	15233
440	11994	15203
441	12022	15177
442	12048	15149
443	12072	15117
444	12097	15087
445	12125	15061
446	12178	15066
447	12204	15038
448	12232	15011
449	12258	14982
450	12283	14952
451	12307	14921
452	12337	14897
453	12363	14869
454	12387	14837
455	12416	14812
456	12441	14782
457	12466	14752
458	12493	14724
459	12520	14698
460	12553	14677
461	12582	14652
462	12607	14622
463	12634	14594
464	12658	14564
465	12685	14536
466	12710	14506
467	12737	14479
468	12762	14449
469	12787	14419
470	12818	14396
471	12843	14367
472	12867	14336
473	12892	14306
474	12917	14276
475	12946	14251
476	12973	14224
477	12999	14196
478	13025	14167
479	13049	14136
480	13076	14109
481	13103	14081
482	13135	14060
483	13160	14030
484	13186	14001
485	13218	13980
486	13245	13952
487	13272	13924
488	13299	13897
489	13326	13870
490	13353	13842
491	13379	13814
492	13407	13788
493	13431	13758
494	13465	13737
495	13489	13707
496	13518	13681
497	13547	13656
498	13572	13626
499	13598	13598
500	13623	13569
501	13650	13541
502	13675	13512
503	13700	13482
504	13728	13456
505	13752	13426
506	13778	13397
507	13805	13370
508	13831	13342
509	13858	13315
510	13886	13288
511	13916	13264
512	13942	13235
513	13966	13205
514	13992	13177
515	14019	13149
516	14046	13122
517	14077	13099
518	14104	13071
519	14132	13044
520	14159	13018
521	14186	12990
522	14214	12964
523	14242	12937
524	14273	12914
525	14298	12884
526	14322	12855
527	14350	12828
528	14374	12798
529	14398	12768
530	14425	12740
531	14452	12713
532	14479	12686
533	14504	12657
534	14536	12634
535	14563	12607
536	14588	12578
537	14614	12549
538	14641	12522
539	14665	12493
540	14691	12464
541	14716	12435
542	14742	12407
543	14768	12379
544	14796	12353
545	14828	12329
546	14851	12299
547	14877	12271
548	14904	12244
549	14929	12215
550	14954	12185
551	14988	12164
552	15017	12139
553	15041	12109
554	15065	12079
555	15091	12051
556	15116	12022
557	15142	11994
558	15167	11965
559	15196	11940
560	15220	11910
561	15248	11883
562	15275	11856
563	15301	11828
564	15328	11801
565	15354	11773
566	15381	11746
567	15408	11719
568	15434	11691
569	15459	11662
570	15485	11634
571	15508	11604
572	15540	11581
573	15567	11553
574	15593	11525
575	15618	11496
576	15642	11467
577	15670	11440
578	15694	11411
579	15719	11383
580	15746	11355
581	15776	11331
582	15801	11302
583	15829	11275
584	15853	11246
585	15879	11218
586	15904	11190
587	15930	11161
588	15957	11134
589	15983	11107
590	16008	11078
591	16034	11050
592	16057	11021
593	16090	10997
594	16125	10976
595	16157	10952
596	16190	10929
597	16219	10903
598	16247	10877
599	16275	10850
600	16300	10821
601	16324	10792
602	16354	10767
603	16382	10740
604	16407	10712
605	16434	10684
606	16458	10656
607	16490	10631
608	16516	10604
609	16545	10578
610	16573	10551
611	16597	10522
612	16625	10495
613	16651	10468
614	16678	10440
615	16702	10411
616	16733	10387
617	16762	10361
618	16790	10334
619	16817	10307
620	16843	10279
621	16869	10251
622	16894	10223
623	16920	10195
624	16947	10168
625	16972	10140
626	16997	10111
627	17023	10083
628	17055	10059
629	17087	10035
630	17116	10009
631	17144	9982
632	17171	9955
633	17198	9928
634	17225	9901
635	17254	9875
636	17283	9849
637	17312	9823
638	17338	9795
639	17364	9767
640	17390	9739
641	17415	9711
642	17441	9683
643	17466	9655
644	17498	9630
645	17528	9605
646	17555	9578
647	17584	9552
648	17610	9524
649	17636	9496
650	17664	9469
651	17689	9441
652	17714	9413
653	17743	9387
654	17772	9361
655	17807	9338
656	17859	9323
657	17907	9307
658	17933	9279
659	17959	9251
660	17984	9223
661	18013	9197
662	18037	9168
663	18062	9140
664	18089	9112
665	18115	9084
666	18140	9056
667	18167	9029
668	18194	9002
669	18221	8974
670	18248	8947
671	18278	8921
672	18302	8892
673	18328	8865
674	18357	8838
675	18385	8811
676	18411	8784
677	18442	8758
678	18472	8732
679	18508	8709
680	18534	8682
681	18560	8654
682	18586	8626
683	18613	8599
684	18640	8571
685	18665	8543
686	18694	8517
687	18724	8491
688	18750	8463
689	18775	8435
690	18800	8407
691	18827	8380
692	18854	8352
693	18879	8324
694	18907	8297
695	18936	8271
696	18961	8242
697	18988	8215
698	19015	8188
699	19046	8162
700	19072	8135
701	19098	8107
702	19127	8080
703	19154	8053
704	19181	8026
705	19208	7998
706	19232	7970
707	19258	7942
708	19287	7916
709	19316	7889
710	19344	7862
711	19370	7835
712	19399	7808
713	19425	7780
714	19450	7752
715	19476	7725
716	19507	7699
717	19532	7671
718	19556	7643
719	19584	7616
720	19611	7589
721	19636	7560
722	19662	7533
723	19689	7505
724	19717	7478
725	19743	7451
726	19771	7424
727	19796	7396
728	19823	7369
729	19851	7342
730	19876	7314
731	19901	7286
732	19926	7258
733	19955	7231
734	19980	7203
735	20005	7175
736	20031	7148
737	20055	7119
738	20079	7091
739	20104	7063
740	20133	7037
741	20161	7010
742	20187	6982
743	20214	6955
744	20241	6928
745	20269	6901
746	20296	6874
747	20322	6846
748	20349	6819
749	20384	6794
750	20410	6767
751	20438	6740
752	20469	6714
753	20496	6687
754	20527	6661
755	20551	6633
756	20578	6605
757	20603	6578
758	20628	6550
759	20654	6522
760	20681	6495
761	20711	6468
762	20738	6441
763	20762	6413
764	20787	6385
765	20812	6357
766	20838	6330
767	20865	6303
768	20893	6276
769	20922	6249
770	20949	6222
771	20975	6194
772	21005	6168
773	21032	6141
774	21057	6113
775	21083	6085
776	21127	6063
777	21155	6036
778	21181	6009
779	21207	5981
780	21232	5953
781	21258	5926
782	21284	5898
783	21313	5872
784	21338	5844
785	21368	5817
786	21392	5789
787	21416	5761
788	21442	5734
789	21471	5707
790	21503	5681
791	21529	5654
792	21553	5626
793	21578	5598
794	21605	5571
795	21634	5544
796	21658	5516
797	21692	5491
798	21717	5463
799	21743	5435
800	21768	5408
801	21794	5380
802	21822	5353
803	21845	5325
804	21876	5299
805	21903	5271
806	21929	5244
807	21955	5217
808	21980	5189
809	22008	5162
810	22033	5134
811	22059	5107
812	22089	5080
813	22118	5054
814	22141	5025
815	22166	4998
816	22191	4970
817	22216	4943
818	22241	4915
819	22268	4888
820	22292	4860
821	22318	4833
822	22343	4805
823	22370	4778
824	22397	4750
825	22426	4724
826	22455	4697
827	22486	4671
828	22511	4643
829	22541	4616
830	22567	4589
831	22595	4562
832	22619	4534
833	22650	4508
834	22680	4481
835	22707	4454
836	22733	4427
837	22758	4399
838	22786	4372
839	22813	4345
840	22842	4318
841	22867	4290
842	22891	4263
843	22918	4236
844	22943	4208
845	22968	4181
846	22996	4153
847	23020	4126
848	23049	4099
849	23075	4072
850	23103	4045
851	23129	4017
852	23155	3990
853	23181	3963
854	23207	3935
855	23234	3908
856	23259	3881
857	23286	3853
858	23315	3827
859	23340	3799
860	23366	3772
861	23391	3744
862	23418	3717
863	23444	3690
864	23476	3663
865	23501	3636
866	23527	3609
867	23553	3581
868	23578	3554
869	23605	3527
870	23631	3499
871	23662	3473
872	23689	3446
873	23715	3418
874	23741	3391
875	23767	3364
876	23793	3337
877	23820	3309
878	23849	3282
879	23873	3255
880	23901	3228
881	23928	3201
882	23955	3174
883	24007	3150
884	24037	3123
885	24064	3096
886	24090	3069
887	24115	3041
888	24141	3014
889	24169	2987
890	24195	2959
891	24222	2932
892	24247	2905
893	24272	2877
894	24299	2850
895	24326	2823
896	24350	2796
897	24380	2769
898	24405	2741
899	24431	2714
900	24462	2687
901	24488	2660
902	24514	2633
903	24538	2605
904	24565	2578
905	24591	2551
906	24617	2524
907	24640	2496
908	24669	2469
909	24695	2442
910	24722	2415
911	24768	2389
912	24797	2362
913	24820	2335
914	24844	2307
915	24870	2280
916	24897	2253
917	24925	2226
918	24951	2199
919	24979	2172
920	25007	2145
921	25033	2117
922	25064	2090
923	25089	2063
924	25116	2036
925	25145	2009
926	25172	1982
927	25198	1955
928	25223	1927
929	25250	1900
930	25276	1873
931	25301	1846
932	25330	1819
933	25355	1791
934	25381	1764
935	25408	1737
936	25437	1710
937	25470	1683
938	25499	1656
939	25528	1629
940	25559	1602
941	25585	1575
942	25609	1547
943	25637	1520
944	25664	1493
945	25691	1466
946	25716	1439
947	25742	1412
948	25768	1384
949	25795	1357
950	25820	1330
951	25845	1303
952	25871	1275
953	25896	1248
954	25923	1221
955	25948	1194
956	25976	1167
957	26002	1139
958	26028	1112
959	26061	1085
960	26085	1058
961	26115	1031
962	26141	1004
963	26168	977
964	26197	950
965	26224	923
966	26249	895
967	26274	868
968	26304	841
969	26328	814
970	26356	787
971	26381	759
972	26405	732
973	26433	705
974	26463	678
975	26495	651
976	26525	624
977	26550	597
978	26577	570
979	26603	542
980	26628	515
981	26653	488
982	26685	461
983	26712	434
984	26739	407
985	26767	380
986	26793	352
987	26819	325
988	26846	298
989	26873	271
990	26897	244
991	26922	217
992	26950	189
993	26975	162
994	27000	135
995	27025	108
996	27055	81
997	27099	54
998	27126	27
999	27152	0
