iter	Logloss
141	0.5259419711
142	0.525844038
143	0.5257828931
144	0.5257052888
145	0.5256249876
146	0.5255574801
147	0.5254934096
148	0.5253926721
149	0.525329224
150	0.5252787085
151	0.5252018832
152	0.525104591
153	0.5250425619
154	0.5249571723
155	0.5248787688
156	0.5248193507
157	0.5247565456
158	0.5246999611
159	0.5246211505
160	0.5245485031
161	0.5244601582
162	0.5243745633
163	0.5243020039
164	0.5242468822
165	0.5241838825
166	0.5241289709
167	0.5240469197
168	0.5239650247
169	0.5238864338
170	0.5238146284
171	0.5237553022
172	0.5237102497
173	0.5236212093
174	0.5235243943
175	0.5234271839
176	0.5233658702
177	0.5233005894
178	0.5232093364
179	0.5230656794
180	0.5229976947
181	0.5229259432
182	0.5228481994
183	0.5227455689
184	0.5226415193
185	0.5225712937
186	0.5224977915
187	0.5223822518
188	0.5223217017
189	0.5222559118
190	0.5222000191
191	0.5221051643
192	0.5220276211
193	0.5219672177
194	0.521858499
195	0.5217813045
196	0.5217407633
197	0.5216832259
198	0.5215967421
199	0.5215127156
200	0.5214492226
201	0.5213750937
202	0.521304525
203	0.5212276675
204	0.5211401136
205	0.5210574936
206	0.5209916464
207	0.5209095796
208	0.5207903792
209	0.5207136929
210	0.5206457996
211	0.5205673032
212	0.5204924535
213	0.5204161235
214	0.5203355839
215	0.5202492289
216	0.5201595896
217	0.5201042157
218	0.5200119393
219	0.5199552673
220	0.5199015277
221	0.5198085652
222	0.5197295083
223	0.5196467112
224	0.5195772084
225	0.5194992385
226	0.5194176249
227	0.5193419763
228	0.5192671986
229	0.519193756
230	0.5191453226
231	0.5190497781
232	0.5189794937
233	0.5189035619
234	0.5188446086
235	0.5187857354
236	0.5187002248
237	0.5186038485
238	0.5185111537
239	0.5184324908
240	0.5183530593
241	0.5182682506
242	0.5181950745
243	0.5181340164
244	0.5180520373
245	0.5179560238
246	0.5179038703
247	0.5178280893
248	0.5177741604
249	0.5177073319
250	0.5176456713
251	0.5175632285
252	0.5174828699
253	0.5174290508
254	0.5173502678
255	0.5172947221
256	0.5172542847
257	0.5171632474
258	0.5170886531
259	0.5169992381
260	0.5169049869
261	0.5168284171
262	0.516758368
263	0.516658953
264	0.5166039254
265	0.516533414
266	0.516469517
267	0.5164148561
268	0.5163472453
269	0.5162491602
270	0.5161882426
271	0.5161141075
272	0.5160282747
273	0.515968736
274	0.5158966745
275	0.5158309301
276	0.515750726
277	0.5156920829
278	0.5156433046
279	0.5155797174
280	0.5155257062
281	0.5154396308
282	0.5153851921
283	0.5153244471
284	0.51526296
285	0.515189069
286	0.5151360613
287	0.5150737696
288	0.5150069376
289	0.5149379717
290	0.5148511277
291	0.5148075728
292	0.514727467
293	0.5146657622
294	0.5145911482
295	0.5145307138
296	0.5144805954
297	0.5144318417
298	0.5143431832
299	0.5142830117
300	0.5141951584
301	0.5141290446
302	0.5140652942
303	0.5139833958
304	0.5138840854
305	0.5138257738
306	0.5137735582
307	0.513721845
308	0.5136421734
309	0.5135495074
310	0.5134955488
311	0.5134234628
312	0.5133637945
313	0.5133117921
314	0.5132325594
315	0.5131812728
316	0.5130934031
317	0.5130125978
318	0.5129450663
319	0.5128648996
320	0.5127859188
321	0.512739192
322	0.512669483
323	0.5125803586
324	0.5124866265
325	0.5124319157
326	0.5123725495
327	0.5122818195
328	0.512189235
329	0.5121251392
330	0.5120730955
331	0.5119974755
332	0.5119149099
333	0.5118387417
334	0.5117852593
335	0.5117144437
336	0.5116199088
337	0.5115527881
338	0.51148311
339	0.5114069875
340	0.5113450993
341	0.5112682313
342	0.5112020487
343	0.5111322342
344	0.5110503027
345	0.5109674593
346	0.510881536
347	0.510817967
348	0.5107699294
349	0.510710198
350	0.5106440725
351	0.5105724738
352	0.510486256
353	0.5104049868
354	0.5103284616
355	0.510282117
356	0.5102000844
357	0.5101375045
358	0.5100765149
359	0.5100314132
360	0.5099736708
361	0.5098960691
362	0.5098219011
363	0.5097678128
364	0.5096862468
365	0.5096252495
366	0.509547893
367	0.5094815956
368	0.5093857511
369	0.5093198946
370	0.5092506498
371	0.5091990046
372	0.5091353471
373	0.5090633076
374	0.5090027243
375	0.5089091413
376	0.5088537463
377	0.508784102
378	0.5087049402
379	0.5086416099
380	0.5085706034
381	0.5084959387
382	0.5084151792
383	0.5083613762
384	0.5082693645
385	0.5082029984
386	0.5081485506
387	0.5080896597
388	0.50804283
389	0.5079796236
390	0.5079143683
391	0.5078568041
392	0.5077779493
393	0.5077200912
394	0.507659004
395	0.5075899126
396	0.5075347562
397	0.5074374408
398	0.5073849168
399	0.5073059475
400	0.5072192453
401	0.5071516119
402	0.5070777913
403	0.5070193676
404	0.5069462113
405	0.5068543047
406	0.506787292
407	0.5067218865
408	0.5066658452
409	0.5065962937
410	0.5065510411
411	0.5064895086
412	0.506420562
413	0.5063321796
414	0.5062732943
415	0.5062107285
416	0.506158846
417	0.5060847249
418	0.5060323469
419	0.5059657283
420	0.505893931
421	0.5058274038
422	0.5057723262
423	0.5056901666
424	0.5056448289
425	0.5055701396
426	0.5055103584
427	0.505459459
428	0.5053845339
429	0.5052995082
430	0.5052252854
431	0.5051437689
432	0.5050684886
433	0.5050041864
434	0.5049354175
435	0.5048659325
436	0.5047839579
437	0.50472643
438	0.5046670968
439	0.5045936344
440	0.5045393018
441	0.5044823486
442	0.5044023761
443	0.5043795937
444	0.5043064859
445	0.5042334592
446	0.5041574858
447	0.5040860116
448	0.5040236192
449	0.5039651063
450	0.5039032559
451	0.5038331863
452	0.5037786437
453	0.5037414152
454	0.503699971
455	0.5036233823
456	0.503576252
457	0.5035092157
458	0.5034475043
459	0.5033554318
460	0.5032846838
461	0.5032105157
462	0.5031685328
463	0.5030986262
464	0.5030372901
465	0.5029662251
466	0.5029023003
467	0.5028446639
468	0.5027916099
469	0.5027247942
470	0.502673629
471	0.5026032595
472	0.5025427751
473	0.5024951216
474	0.5024213691
475	0.5023653546
476	0.5023047528
477	0.5022362946
478	0.5021841332
479	0.5021328353
480	0.5020482609
481	0.5019929744
482	0.5019327964
483	0.5018913193
484	0.501846426
485	0.5017855208
486	0.5017116746
487	0.5016407213
488	0.5015678176
489	0.5014993533
490	0.5014262071
491	0.5013622846
492	0.5012735082
493	0.5012274806
494	0.501150066
495	0.5010782783
496	0.5010204144
497	0.5009828456
498	0.5009137478
499	0.5008604791
500	0.5008169462
501	0.5007543535
502	0.5006934762
503	0.5006592257
504	0.5005867997
505	0.500550211
506	0.5004858491
507	0.5004236811
508	0.5003579316
509	0.5002956106
510	0.500253342
511	0.5002043104
512	0.5001453176
513	0.5001025546
514	0.500024737
515	0.4999528014
516	0.4998779942
517	0.4998020056
518	0.4997293953
519	0.499672498
520	0.4995938322
521	0.4995338755
522	0.4994744476
523	0.4994049968
524	0.4993174989
525	0.4992588497
526	0.4991933853
527	0.4991179204
528	0.4990623845
529	0.4990114423
530	0.4989412498
531	0.4988747641
532	0.4988069855
533	0.4987289374
534	0.4986581891
535	0.498591366
536	0.4985221034
537	0.4984574336
538	0.4984145196
539	0.4983629941
540	0.4983150855
541	0.4982665691
542	0.4982070725
543	0.4981558538
544	0.4980797517
545	0.498018787
546	0.4979892118
547	0.4979133355
548	0.4978399533
549	0.4977697058
550	0.4977133421
551	0.4976405629
552	0.4975560384
553	0.4975236809
554	0.4974656082
555	0.4974172649
556	0.497360859
557	0.4972956123
558	0.497245704
559	0.4971813748
560	0.4971543279
561	0.4970981202
562	0.4970227697
563	0.4969668233
564	0.4968992059
565	0.4968153337
566	0.4967827586
567	0.4967118681
568	0.4966500537
569	0.4965849305
570	0.4965332771
571	0.4964942495
572	0.4964071807
573	0.4963554173
574	0.4962887767
575	0.4962359322
576	0.4961895558
577	0.4961307226
578	0.4960867102
579	0.4960434579
580	0.4959775678
581	0.4959175706
582	0.4958798889
583	0.4958167856
584	0.4957613224
585	0.4956843544
586	0.4956277509
587	0.4955817398
588	0.4955236244
589	0.4954599324
590	0.4953964656
591	0.4953303774
592	0.4952954136
593	0.4952522834
594	0.4951959462
595	0.4951525301
596	0.4951055765
597	0.4950635438
598	0.4949892353
599	0.494942301
600	0.4949007288
601	0.4948352334
602	0.4947561675
603	0.4947074201
604	0.4946452451
605	0.494584913
606	0.4945377293
607	0.4944743836
608	0.4944102802
609	0.494351659
610	0.494282605
611	0.4942311346
612	0.4941581707
613	0.4941000686
614	0.494033188
615	0.4939703206
616	0.4939064392
617	0.4938513719
618	0.4938028282
619	0.4937223012
620	0.4936548345
621	0.4936023129
622	0.4935419786
623	0.4934955782
624	0.4934529299
625	0.4934067463
626	0.4933555135
627	0.4932983523
628	0.4932347572
629	0.4931947248
630	0.4931461749
631	0.4930681018
632	0.4930029555
633	0.492942882
634	0.4928843632
635	0.4928312016
636	0.4927590692
637	0.492699486
638	0.4926377212
639	0.4925620888
640	0.4925115056
641	0.4924660295
642	0.4924093085
643	0.4923626137
644	0.4922898061
645	0.4922425477
646	0.4921968565
647	0.4921281362
648	0.4920892154
649	0.4920311222
650	0.4919694077
651	0.4919477855
652	0.4919009946
653	0.4918542325
654	0.4917943295
655	0.4917348975
656	0.4916694194
657	0.4916098416
658	0.4915483402
659	0.4914853068
660	0.4914303048
661	0.4913652771
662	0.4913280874
663	0.4912926471
664	0.4912239811
665	0.4911813037
666	0.4911145099
667	0.4910607428
668	0.4909920508
669	0.4909350408
670	0.4908773161
671	0.4908365374
672	0.4907918557
673	0.490744732
674	0.4906787202
675	0.4906161895
676	0.4905493931
677	0.4904901223
678	0.490427038
679	0.4903401996
680	0.4902797116
681	0.4902272377
682	0.4901582664
683	0.490091433
684	0.4900433145
685	0.4899973218
686	0.4899434205
687	0.4898639817
688	0.4898107718
689	0.4897583434
690	0.4897012234
691	0.4896552953
692	0.4895874285
693	0.4895233393
694	0.4894674852
695	0.4893907354
696	0.4893359707
697	0.4892720441
698	0.4892100136
699	0.4891499504
700	0.489086503
701	0.4890126798
702	0.4889546191
703	0.4889166023
704	0.4888668793
705	0.488811049
706	0.4887719335
707	0.4887289482
708	0.4886658943
709	0.4885980992
710	0.4885140809
711	0.4884534278
712	0.4883973124
713	0.4883534805
714	0.4883129433
715	0.4882799816
716	0.4882372811
717	0.4881850164
718	0.4881388055
719	0.4880940759
720	0.4880272217
721	0.4879880322
722	0.4879395238
723	0.4878713484
724	0.4878300256
725	0.4877566989
726	0.4877116077
727	0.4876626828
728	0.4876145174
729	0.4875477099
730	0.4874830076
731	0.4874472572
732	0.4874001622
733	0.4873592078
734	0.4873033801
735	0.4872656436
736	0.487211183
737	0.4871793592
738	0.487128766
739	0.4870626574
740	0.4869967545
741	0.4869345102
742	0.4868727234
743	0.4868064168
744	0.4867318604
745	0.4866789457
746	0.4866353314
747	0.4865783313
748	0.4865332876
749	0.4864795713
750	0.4864202907
751	0.4863578627
752	0.4862885633
753	0.4862440116
754	0.4861928013
755	0.4861528273
756	0.486077081
757	0.4860122199
758	0.4859647361
759	0.4859191828
760	0.4858378967
761	0.4857948637
762	0.4857402901
763	0.4857093533
764	0.4856673013
765	0.4856078668
766	0.485539133
767	0.485482022
768	0.4853984085
769	0.4853208263
770	0.4852549306
771	0.4852111384
772	0.4851547543
773	0.4851201437
774	0.4850751429
775	0.4850233061
776	0.4849714343
777	0.4849315266
778	0.4848569717
779	0.4847947774
780	0.4847586434
781	0.4847010811
782	0.4846568196
783	0.4846014947
784	0.4845347065
785	0.4844789411
786	0.4844399846
787	0.4844146736
788	0.4843795943
789	0.4843190573
790	0.4842653074
791	0.4842152189
792	0.4841549566
793	0.4841266529
794	0.4840506607
795	0.484003149
796	0.4839544209
797	0.4839062322
798	0.483842923
799	0.4837969326
800	0.4837627196
801	0.4837141466
802	0.4836308424
803	0.4835943561
804	0.4835246059
805	0.4834662786
806	0.4834058135
807	0.4833465482
808	0.4832897454
809	0.4832279138
810	0.4831806497
811	0.4831335075
812	0.4830513415
813	0.4829841342
814	0.482961156
815	0.4829014359
816	0.4828700293
817	0.4828253382
818	0.4827940751
819	0.4827414114
820	0.4827089567
821	0.4826597095
822	0.4826142785
823	0.4825454025
824	0.482474618
825	0.48241135
826	0.4823665644
827	0.4823138014
828	0.4822548629
829	0.4821881338
830	0.4821526299
831	0.4820795097
832	0.4820235591
833	0.4819623863
834	0.4819027407
835	0.4818354138
836	0.481805931
837	0.4817523501
838	0.4816720613
839	0.4816145408
840	0.4815656683
841	0.4815089639
842	0.4814752093
843	0.4814214635
844	0.4813733027
845	0.4813200093
846	0.4812474311
847	0.4811933706
848	0.4811708525
849	0.4811194473
850	0.4810608427
851	0.481015568
852	0.4809484039
853	0.4808908781
854	0.4808320679
855	0.4807790319
856	0.4807400721
857	0.4806787613
858	0.4806261691
859	0.4805842005
860	0.4805350355
861	0.4804764167
862	0.4804337079
863	0.4803916906
864	0.4803288167
865	0.4802795636
866	0.4802195359
867	0.4801731272
868	0.4801332767
869	0.4800781228
870	0.4800261188
871	0.4799646861
872	0.4799023297
873	0.4798594788
874	0.4797906634
875	0.4797451178
876	0.4797168017
877	0.4796673946
878	0.4796098776
879	0.4795617061
880	0.4794790568
881	0.4794348491
882	0.4793678354
883	0.4793063098
884	0.4792567799
885	0.4792175629
886	0.4791624162
887	0.4791097336
888	0.4790460151
889	0.479002335
890	0.4789384522
891	0.47887476
892	0.4788377977
893	0.4788091957
894	0.4787410145
895	0.4786918724
896	0.4786478011
897	0.4785846649
898	0.4785365321
899	0.4784830779
900	0.4784067833
901	0.4783617108
902	0.4783007729
903	0.478265683
904	0.4782319693
905	0.4781904098
906	0.4781323389
907	0.4781044743
908	0.4780340682
909	0.4779779924
910	0.4779139146
911	0.477856675
912	0.4778171478
913	0.4777948844
914	0.4777492513
915	0.4776889672
916	0.4776218158
917	0.4775452862
918	0.477517561
919	0.4774521916
920	0.4773980689
921	0.4773340244
922	0.477270096
923	0.4772216596
924	0.477150249
925	0.4770871227
926	0.4770386435
927	0.4769882109
928	0.47694794
929	0.4768967349
930	0.4768444151
931	0.4767868376
932	0.4767378388
933	0.4767039921
934	0.4766563587
935	0.4766115398
936	0.4765503359
937	0.4764946104
938	0.4764162967
939	0.4763437116
940	0.4762941847
941	0.4762579661
942	0.4762247279
943	0.4761519433
944	0.4761174015
945	0.4760783741
946	0.4760502064
947	0.4759902759
948	0.4759164427
949	0.4758595636
950	0.4758351604
951	0.4757938496
952	0.4757361481
953	0.4756917572
954	0.4756415439
955	0.4755907593
956	0.4755557855
957	0.4755003047
958	0.4754562285
959	0.4754071143
960	0.4753772698
961	0.4752959619
962	0.4752461511
963	0.4751908639
964	0.4751229701
965	0.4750697345
966	0.4750302485
967	0.4749826243
968	0.4749260607
969	0.4748820248
970	0.4748358972
971	0.4747868608
972	0.4747374643
973	0.4746736564
974	0.4746351147
975	0.4745904905
976	0.4745462073
977	0.4745007504
978	0.4744501964
979	0.4743867622
980	0.4743331723
981	0.4742855147
982	0.4742263336
983	0.474169104
984	0.474115571
985	0.47405432
986	0.4740056501
987	0.4739572875
988	0.4738949953
989	0.4738561744
990	0.4738315549
991	0.4737855774
992	0.4737224178
993	0.4736808396
994	0.4736506595
995	0.4735914706
996	0.4735244893
997	0.4734775522
998	0.4734188055
999	0.4733468533
